,protocol,parameter,condition,ICC,good
0,Lund_Circle_2deg,measurement_duration_HV_s,WR,0.05675359859586875,
1,Lund_Circle_2deg,measurement_duration_HV_s,SD,-0.08222287188157101,
2,Lund_Circle_2deg,trajectory_length_HV_deg,WR,0.37840672152410365,
3,Lund_Circle_2deg,trajectory_length_HV_deg,SD,0.6386354558092762,
4,Lund_Circle_2deg,trajectory_length_H_deg,WR,0.42021125745590865,
5,Lund_Circle_2deg,trajectory_length_H_deg,SD,0.6294644347165884,
6,Lund_Circle_2deg,trajectory_length_V_deg,WR,0.3049648358635007,
7,Lund_Circle_2deg,trajectory_length_V_deg,SD,0.6226479329115503,
8,Lund_Circle_2deg,BCEA68_HV_deg^2,WR,0.664152728262562,
9,Lund_Circle_2deg,BCEA68_HV_deg^2,SD,0.559641758434795,
10,Lund_Circle_2deg,BCEA68_A_deg,WR,-0.06530807083432813,
11,Lund_Circle_2deg,BCEA68_A_deg,SD,-0.08880615843429812,
12,Lund_Circle_2deg,BCEA95_HV_deg^2,WR,0.6641527282625626,
13,Lund_Circle_2deg,BCEA95_HV_deg^2,SD,0.5596417584347939,
14,Lund_Circle_2deg,BCEA98_HV_deg^2,WR,0.6641527282625616,
15,Lund_Circle_2deg,BCEA98_HV_deg^2,SD,0.5596417584347949,
16,Lund_Circle_2deg,P2_HV_%,WR,0.4724971923553797,
17,Lund_Circle_2deg,P2_HV_%,SD,0.5225228604679854,
18,Lund_Circle_2deg,P4_HV_%,WR,0.7160034984415813,
19,Lund_Circle_2deg,P4_HV_%,SD,0.3043921682441326,
20,Lund_Circle_2deg,fixation_stability_H_%,WR,0.6494320737740341,
21,Lund_Circle_2deg,fixation_stability_H_%,SD,0.5503085805824506,
22,Lund_Circle_2deg,fixation_stability_V_%,WR,0.4952132081655768,
23,Lund_Circle_2deg,fixation_stability_V_%,SD,0.6091564670186856,
24,Lund_Circle_2deg,blinks_count_HV_%,WR,0.39840254631714866,
25,Lund_Circle_2deg,blinks_count_HV_%,SD,0.15425660926509818,
26,Lund_Circle_2deg,blinks_percentage_HV_%,WR,0.33400424236821025,
27,Lund_Circle_2deg,blinks_percentage_HV_%,SD,0.2311410592493489,
28,Lund_Circle_2deg,blinks_frequency_HV_Hz,WR,0.39852000328806386,
29,Lund_Circle_2deg,blinks_frequency_HV_Hz,SD,0.15424407711962929,
30,Lund_Circle_2deg,blinks_duration_HV_s,WR,0.3339527483050643,
31,Lund_Circle_2deg,blinks_duration_HV_s,SD,0.2307845822881753,
32,Lund_Circle_2deg,drifts_count_HV_s,WR,0.7887615145808945,
33,Lund_Circle_2deg,drifts_count_HV_s,SD,0.44051525781750944,
34,Lund_Circle_2deg,drifts_percentage_HV_%,WR,0.6240869466692684,
35,Lund_Circle_2deg,drifts_percentage_HV_%,SD,0.3422554625453869,
